조사연도,노선명,시점이정,종점이정,개통연도,차로,1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종
2019,서해안선,317.2,321,1994,6,80498,1657,12904,9164,5681,2183,1640,740,22,1553,11,616
2019,서해안선,321,326.1,1994,6,58621,609,10431,6500,3144,1498,958,308,16,943,9,221
2019,서해안선,326.1,329,1995,11,143847,2396,21611,10853,7164,3324,1782,616,24,1796,24,691
2019,서해안선,329,332.1,1995,10,89828,1194,12165,3405,2571,1599,351,9,1,423,16,131
2019,서해안선,332.1,333.3,1995,10,133762,1763,18503,5144,3662,2420,520,13,2,612,23,193
2019,서해안선,333.3,336,1995,10,113508,1855,17681,5892,1937,1619,294,144,1,247,10,24
2019,서해안선,336,337,1998,8,85792,1426,13653,4775,1621,1337,296,114,1,236,10,26
2019,서해안선,337,340.2,1998,4,76981,1241,11948,4185,1422,1175,247,101,1,205,8,23
2019,울산선,0,11.8,1969,4,29598,1692,6655,4033,2961,2285,2011,464,23,1607,41,362
2019,울산선,11.8,14.3,1969,8,41089,1851,5365,2317,2148,544,1329,17,2,1032,16,119
2019,새만금포항선A,0,0.1,2004,4,24554,438,4600,1430,500,204,205,2,1,114,7,22
2019,새만금포항선A,0.1,18,2004,4,26259,629,5047,2297,806,747,590,91,11,309,2,190
2019,새만금포항선A,18,26.5,2004,4,21512,516,4137,1909,665,632,503,77,11,264,2,167
2019,새만금포항선A,26.5,28.6,2004,6,25457,620,4825,2312,796,750,608,85,11,340,2,202
2019,새만금포항선A,28.6,59.4,2004,6,21908,548,4121,2015,694,653,529,80,10,311,2,189
2019,새만금포항선A,59.4,69.1,2004,4,23143,581,4340,2114,721,688,549,85,10,332,2,195
2019,호남논산천안선,0,10,1973,4,22589,890,3845,1982,1149,691,484,515,6,1003,11,126
2019,호남논산천안선,10,21.8,1973,4,21447,844,3667,1883,1093,653,448,490,6,930,10,115
2019,호남논산천안선,21.8,29.2,1973,4,19665,771,3419,1732,995,601,412,449,6,841,10,105
2019,호남논산천안선,29.2,41.3,1973,4,20054,785,3498,1770,1018,612,418,463,7,853,10,105
2019,호남논산천안선,41.3,52.7,1973,4,23388,907,4084,2021,1157,711,473,534,7,957,10,117
2019,호남논산천안선,52.7,60.4,1973,4,27961,1087,4997,2463,1398,867,571,634,8,1171,11,141
2019,호남논산천안선,60.4,64.2,1973,4,18713,720,3349,1645,926,577,372,424,6,756,9,91
